,praise_comment
63,很长一段时间我能认同的非人类超英只有Chris Hemsthworth的雷神 现在这个名单可以加上Jason Momoa的海王了 温子仁的配乐还是一如既往的烂 但是造气氛还是一如既往的流毙 五星娱乐向。
64,看完特别饿，想吃海鲜锅。
65,《海王》：《超人：钢铁之躯》以来的DC电影宇宙里最喜欢的一部！虽然剧情中规中矩，但多达26％画面内容的IMAX特效场面却超乎预期的给力，像是《海底总动员》+《悬崖上的金鱼姬》+《阿凡达》+《侏罗纪世界》+《加勒比海盗》+《星球大战》+《驯龙高手》+《哥斯拉》+《魔兽》+《指环王》的结合版，不够新鲜但足够震撼！观影时还联想到《西游记》，维科像是菩提祖师（造型有道长的影子），海王去海沟族领地寻找金三叉戟则像孙悟空去东海“借”定海神针，海王最后耍三叉戟则有悟空耍金箍棒的感觉。
66,一刷广州UA花城汇暗IMAX迟到错过似乎十分精彩的30分钟，我哭，犹豫三秒还是进去看了毕竟还有五分四啊，希望东莞华南摩尔万达IMAX二刷完美，湄拉的胸好美啊目不能移，妮可妈身材保持得真好，妈妈再爱我一次，温导的认真不堆彻，连密恐细看之下都经得起看竟然不密恐了，被温导治好了密恐，大概没人能把水行侠拍得更好了，还友情预推了下陀螺儿童不宜版匹诺曹？哈哈，继续坐等沼泽怪物。20181209@东莞华南摩尔万达激光IMAX终极完美二刷，hail克总hail dc.
67,简直神片，星球大战+阿凡达+冰与火之歌+海底两万里+哥斯拉+夺宝奇兵+谍影重重+西游记+圣斗士+魔兽世界…………爽点太满了
68,好看的！一定要看IMAX！视觉轰炸强过《复联3》，怪不得漫威最近这么密集发新片预告。温子仁其实最适合给迪斯尼拍真人电影，《海王》就是一个标准的童话故事。扎克·施耐德给温子仁当了执行制片人，可以的。十二月最佳先给《蜘蛛侠：平行宇宙》留个位置。[愉快]
69,为DC的未来担忧。温子仁这种逼飞奶炸的拍法真是好摩登好无情好六亲不认，爽则爽矣，但后续DC系列换谁来接棒都无悬念炮灰。相比之下漫威真的心机很重，每次就给你来一盘小前菜口味吊着，好几年才上道主菜，水平还参差不齐，很会饥饿营销那一套。说回《海王》，其一，很明显特效做到极致必须用长镜头来承载，而长镜最好的呈现方式只能是VR，在目前的技术阶段，冲击感已到天花板，浸入感仍远不及格，一旦技术升级，温子仁封神指日可待；其二，比起为爱痴狂的神奇女侠，《海王》真正创造出两个钻石一般闪耀的女性角色，心怀天下深明大义，以一种看淡一切的态度和实战到底的精神一举反抗男权父权皇权三座大山，使这个原本中庸剧本的质感得到大幅提升。
70,明明是海鲜之王，自己游泳比较快还非要骑个海洋生物
71,"“妈，你也支持我哥吗？”
“你们都是我的孩子，我一样爱你们…”
“好的，妈，再见。”"
72,放轻松，超英这个标签可以暂时拿掉，匹配海王的应该是【奇观】【史诗】这样的词汇。这次的温子仁的功课做得非常足，从詹姆斯卡梅隆多年前的《深渊》、及其破纪录深潜科研的素材都作为教科书来取经。人类栖息海底后多种族的分杈进化、地心藏海的古早科幻致敬，还有巨兽本身都让人震撼抖擞。彷佛提前窥见到了海底潘多拉的一面。and扎导给海王定下不同于漫画的摇滚人设，在温导的调教下可以说更加可爱了。今天之后，在断壁残垣的DCEU里，海王再绝不是边缘角色。
73,"零点首映场@UME 7分+ 温子仁的DC宇宙宏大而不乏机趣的小段子，娱乐性大概是今年大片之最。试听方面因看了个前SIFF厅改的假Max折扣不少，场面节奏铺得过满易乏后力。蠢萌男主相当状况外，反英雄主旨港台译名水行侠更为贴切。俩女主养眼，匹诺曹牌燃气灶周母雷雨梗情侣去死团金银大王海底大决斗等交互烂梗令我快落。友提值得高亮IMAX/杜比厅。两个联想：1/曼森歌词云Travel the world and seven seas, everybody is looking for something... 当沙雕游记不错看，西西里尤佳。2/世界右转反乌托邦，失落帝国重建的政治相当看似正确又反戈自黑。"
74,视效惊喜。
75,咸水王国国王的蟹钳被砍下来的那一刻，我饿了。
76,大概是因为一年没看电影了，觉得这部超好看，极大满足了视觉体验，而且觉得在这样一个简单的情节下，还能把东方与西方、古典与现代、武打与枪战、恐怖与幽默、打斗与解谜糅合的这么好。音乐很棒，揭秘虽然少但因为没想到还有所以也颇收意外之喜。最满意的观影感受则是和同样一年没有看过电影的内子的轻声对话：这是龙虾，这是鳕鱼，这是螃蟹，这是皮皮虾，这是鱿鱼……
77,其实这个故事我觉得挺武侠的，但是加上温大神的私货，妈呀，化学效果太玩味了。#我DC扬眉吐气一把了
78,温子仁牛逼，这部商业片拍得的确很成功，开场后每一秒都是高潮。海王的起源故事更加完整，亚特兰蒂斯王国视效引人入胜。湄拉的选角真的太美了……最后，DC这个故事值得五星。
79,我不懂为什么口碑这么好诶。当然特级很炸了，但是故事真是让人毫无感觉嗷。没有一个人有性格，没有人做事有说得过去的原因…
